"TOA5","SUSTAINpresX4X2","CR6","5764","CR6.Std.10.02","CPU:SUSTAINpressX4X2V10_0907_13Feb2019.CR6","43802","pressure"
"TIMESTAMP","RECORD","Pressure1(1)","Pressure1(2)","Pressure1(3)","Pressure1(4)","Pressure2(1)","Pressure2(2)","Pressure2(3)","Pressure2(4)"
"TS","RN","hPa","hPa","hPa","hPa","hPa","hPa","hPa","hPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-03-07 20:00:14.9",4338163,-4.219419,-0.009827499,-5.793661E-05,-0.04960534,1018.146,887.0122,1018.572,1019.961
"2022-03-07 20:00:15",4338164,-4.219455,-0.007326086,-6.691679E-05,-0.05522374,1018.192,887.0421,1018.575,1020.028
"2022-03-07 20:00:15.1",4338165,-4.219486,-0.005475735,-7.676602E-05,-0.0581423,1018.228,887.0745,1018.574,1020.054
"2022-03-07 20:00:15.2",4338166,-4.219538,-0.003372636,-7.734538E-05,-0.05756148,1018.225,887.1033,1018.573,1020.051
"2022-03-07 20:00:15.3",4338167,-4.219419,-0.003151028,-6.112313E-05,-0.05429965,1018.182,887.1215,1018.572,1019.999
"2022-03-07 20:00:15.4",4338168,-4.219478,-0.004002696,-7.734538E-05,-0.04749789,1018.128,887.136,1018.566,1019.904
"2022-03-07 20:00:15.5",4338169,-4.219472,-0.00439232,-5.47501E-05,-0.03944181,1018.029,887.1307,1018.561,1019.798
"2022-03-07 20:00:15.6",4338170,-4.219406,-0.005096974,-7.328982E-05,-0.02923627,1017.936,887.1116,1018.551,1019.662
"2022-03-07 20:00:15.7",4338171,-4.219567,-0.006039893,-7.097235E-05,-0.01713186,1017.807,887.0891,1018.528,1019.499
"2022-03-07 20:00:15.8",4338172,-4.219438,-0.007413715,-6.315091E-05,-0.004236616,1017.684,887.0453,1018.512,1019.317
"2022-03-07 20:00:15.9",4338173,-4.21949,-0.01048218,-7.676602E-05,0.007382574,1017.57,886.9895,1018.485,1019.132
"2022-03-07 20:00:16",4338174,-4.219539,-0.01417999,-7.242077E-05,0.02053346,1017.432,886.94,1018.474,1018.98
"2022-03-07 20:00:16.1",4338175,-4.219508,-0.01684435,-7.850411E-05,0.03059271,1017.338,886.8837,1018.446,1018.84
"2022-03-07 20:00:16.2",4338176,-4.219523,-0.01863676,-5.561915E-05,0.03580266,1017.29,886.8185,1018.418,1018.744
"2022-03-07 20:00:16.3",4338177,-4.21942,-0.01872294,-7.473823E-05,0.03890589,1017.253,886.7656,1018.41,1018.667
"2022-03-07 20:00:16.4",4338178,-4.219463,-0.01903942,-8.140094E-05,0.0394686,1017.249,886.7167,1018.386,1018.659
"2022-03-07 20:00:16.5",4338179,-4.219452,-0.01817762,-8.024221E-05,0.03572879,1017.279,886.6956,1018.4,1018.705
"2022-03-07 20:00:16.6",4338180,-4.219409,-0.01748817,-7.821443E-05,0.03134299,1017.342,886.6819,1018.404,1018.783
"2022-03-07 20:00:16.7",4338181,-4.219463,-0.01731219,-9.849224E-05,0.02057836,1017.449,886.687,1018.422,1018.911
"2022-03-07 20:00:16.8",4338182,-4.219468,-0.01602165,-6.025408E-05,0.0072906,1017.579,886.705,1018.434,1019.102
"2022-03-07 20:00:16.9",4338183,-4.219499,-0.01285976,-6.170249E-05,-0.008689045,1017.741,886.7235,1018.467,1019.35
"2022-03-07 20:00:17",4338184,-4.21943,-0.007427475,-7.937316E-05,-0.02972728,1017.953,886.7687,1018.532,1019.64
"2022-03-07 20:00:17.1",4338185,-4.219469,-0.0004309036,-7.705569E-05,-0.0524283,1018.18,886.8381,1018.623,1020.005
"2022-03-07 20:00:17.2",4338186,-4.219409,0.007961579,-7.908348E-05,-0.07777847,1018.432,886.9422,1018.716,1020.359
"2022-03-07 20:00:17.3",4338187,-4.219494,0.01811135,-7.213109E-05,-0.1000884,1018.655,887.0572,1018.81,1020.723
"2022-03-07 20:00:17.4",4338188,-4.219494,0.02943217,-8.198031E-05,-0.1212222,1018.873,887.1678,1018.881,1021.016
"2022-03-07 20:00:17.5",4338189,-4.219544,0.04380588,-7.966284E-05,-0.136041,1019.017,887.2745,1018.917,1021.227
